epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5215,1.02305,2.13201,1.0539,1,0.04169,0.51153,0.36758,0.91158,3.33096,0.93465,0.000652778,0.000652778,0.000652778
2,67.7805,0.93295,1.12729,0.96066,0.96107,0.87644,0.95944,0.71912,0.91962,1.23993,1.00453,0.00129569,0.00129569,0.00129569
3,98.6139,0.93833,0.9456,0.97948,0.94424,0.84615,0.94851,0.67341,0.95274,1.1317,0.99173,0.00191461,0.00191461,0.00191461
4,128.449,0.92898,0.80886,0.98485,0.90637,0.92899,0.93543,0.70839,0.8755,0.78569,0.95955,0.001892,0.001892,0.001892
5,161.689,0.89921,0.69462,0.96862,0.98117,0.92487,0.97668,0.75418,0.8288,0.68726,0.9437,0.001856,0.001856,0.001856
6,192.912,0.88173,0.65061,0.9691,0.6017,0.82249,0.65745,0.53079,0.81044,2.42835,0.93027,0.00182,0.00182,0.00182
7,223.588,0.84836,0.60506,0.96029,0.9817,0.97041,0.99163,0.78907,0.76829,0.49169,0.90765,0.001784,0.001784,0.001784
8,255.672,0.84711,0.58596,0.9565,0.97423,0.92308,0.96551,0.76966,0.80796,0.51944,0.90771,0.001748,0.001748,0.001748
9,285.69,0.78113,0.54723,0.93164,0.974,0.97041,0.98963,0.77249,0.80241,0.4837,0.92826,0.001712,0.001712,0.001712
10,315.886,0.80394,0.54341,0.93502,0.95798,0.94431,0.98074,0.80409,0.73053,0.66474,0.89791,0.001676,0.001676,0.001676
11,347.623,0.80345,0.53898,0.94303,0.98201,0.96919,0.99202,0.81023,0.76826,0.52015,0.90417,0.00164,0.00164,0.00164
12,377.585,0.76767,0.50989,0.9296,0.98245,0.99382,0.99309,0.81753,0.72532,0.49043,0.8801,0.001604,0.001604,0.001604
13,408.306,0.77707,0.52094,0.92822,0.97997,0.99408,0.99393,0.7965,0.78662,0.44457,0.88655,0.001568,0.001568,0.001568
14,439.024,0.78206,0.49953,0.9292,0.98715,0.98225,0.98915,0.76082,0.88727,0.46899,0.9196,0.001532,0.001532,0.001532
15,469.649,0.7503,0.46909,0.9211,0.98589,1,0.98959,0.83951,0.64284,0.39876,0.87049,0.001496,0.001496,0.001496
16,500.833,0.74582,0.4774,0.9179,0.98252,0.99765,0.99263,0.81016,0.72967,0.43711,0.87905,0.00146,0.00146,0.00146
17,531.093,0.7485,0.48531,0.92152,0.99397,0.97591,0.99156,0.85906,0.62546,0.40641,0.86047,0.001424,0.001424,0.001424
18,561.78,0.7208,0.46868,0.91844,0.99154,0.97041,0.9897,0.84331,0.65692,0.40479,0.87314,0.001388,0.001388,0.001388
19,593.269,0.72562,0.45309,0.91304,0.97867,0.98225,0.99388,0.82361,0.67766,0.42428,0.87263,0.001352,0.001352,0.001352
20,623.451,0.70621,0.4552,0.90732,0.99338,1,0.99441,0.85627,0.64306,0.38018,0.85183,0.001316,0.001316,0.001316
21,653.532,0.69839,0.44684,0.90737,0.99408,0.99404,0.99476,0.84677,0.64288,0.39508,0.85714,0.00128,0.00128,0.00128
22,684.537,0.69432,0.44245,0.9017,0.98818,1,0.99212,0.8281,0.70768,0.38741,0.87303,0.001244,0.001244,0.001244
23,714.11,0.69565,0.44108,0.90309,0.99338,0.98225,0.99412,0.84835,0.66267,0.36601,0.8628,0.001208,0.001208,0.001208
24,743.657,0.67291,0.42478,0.89918,0.96846,0.98225,0.99125,0.84225,0.62721,0.40827,0.85389,0.001172,0.001172,0.001172
